"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2707.57/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x6921cc163ab2e2fadf0c6327c0fa30608f9c42d2e0c7a4bd81e8ac0c883e736c","14116900","1643675365","2022-02-01 00:29:25","0x8b3f4eb783270aefaac9238ac1d165a433c8fbf3","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0.4","1083.028","0.029106864","78.80887176048","2790.15","","","Atomic Match_",""
"0xb1300688028035068c4b1d8dd07e9a1a68c25193648b403e4a02a083c93cde93","14117819","1643687551","2022-02-01 03:52:31","0x8b3f4eb783270aefaac9238ac1d165a433c8fbf3","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.010465481447377418","28.3360236024757","2790.15","","","Cancel Order_",""
"0x6e8b26a8ed0aae40b76ece1d5b25803049fe0a1456f989fae690c4e22aaaabb1","14117841","1643687838","2022-02-01 03:57:18","0x8b3f4eb783270aefaac9238ac1d165a433c8fbf3","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0.4","1083.028","0.023291791760391462","63.0641566166831","2790.15","","","Atomic Match_",""
"0x0d1d3c5048e32438ce39e1c05ad58167403ba05720a18fe38fad34bbababa7e8","14117863","1643688110","2022-02-01 04:01:50","0x8b3f4eb783270aefaac9238ac1d165a433c8fbf3","0xa351b769a01b445c04aa1b8e6275e03ec05c1e75","","0","0.088","238.26616","0.021399683655690724","57.9411414756385","2790.15","","","Mint",""
"0xe1e41547ef5ccbd15afbbfb164d6831a144c763960920370cc25fd9a64a26ebc","14117869","1643688161","2022-02-01 04:02:41","0x8b3f4eb783270aefaac9238ac1d165a433c8fbf3","0xa351b769a01b445c04aa1b8e6275e03ec05c1e75","","0","0.088","238.26616","0.018148200309549143","49.137522712126","2790.15","","","Mint",""
"0xaaff6503397d0b5562241db4c978fd6b8d636b1ddc3c2d870398e219aedc492e","14117874","1643688194","2022-02-01 04:03:14","0x8b3f4eb783270aefaac9238ac1d165a433c8fbf3","0xa351b769a01b445c04aa1b8e6275e03ec05c1e75","","0","0.088","238.26616","0.00735149342174208","19.9046830439062","2790.15","Error(0)","Reverted","Mint",""
"0x88750553b6b1d44d08fd359ca47836ebb377aa8269f3407044d3f21d3c223b0c","14117876","1643688208","2022-02-01 04:03:28","0x8b3f4eb783270aefaac9238ac1d165a433c8fbf3","0xa351b769a01b445c04aa1b8e6275e03ec05c1e75","","0","0.088","238.26616","0.00710336085192656","19.2328467418508","2790.15","Error(0)","Reverted","Mint",""
"0x3b30758fc8c7183aa4494da7656c17f7a28d0ceca4925b82ecea08552922d0e7","14117876","1643688208","2022-02-01 04:03:28","0x8b3f4eb783270aefaac9238ac1d165a433c8fbf3","0xa351b769a01b445c04aa1b8e6275e03ec05c1e75","","0","0.088","238.26616","0.00710336085192656","19.2328467418508","2790.15","Error(0)","Reverted","Mint",""
"0xc55fd535f861365e3d7d8ae6df2b609f5259b5eda6bc201c700a254dd3966a09","14117945","1643689183","2022-02-01 04:19:43","0x8b3f4eb783270aefaac9238ac1d165a433c8fbf3","0x7ef865963d3a005670b8f8df6aed23e456fa75e0","","0","0.05","135.3785","0.043126489169993504","116.767988281999","2790.15","","","Purchase",""
"0x54cdc8342bdd310f38444f629460546daa04e699179f8ee9cbd2da4deeeca7a8","14117961","1643689400","2022-02-01 04:23:20","0x8b3f4eb783270aefaac9238ac1d165a433c8fbf3","0xd426f8b71ad76435030028f9d26ec077356d344d","","0","0","0","0.019734383570924315","53.4322249251276","2790.15","","","Free Mint",""
